Date,TD.TO,SHOP.TO,RY.TO,BNS.TO,ABX.TO,BMO.TO,CM.TO,L.TO,NA.TO,FNV.TO,G.TO,TRP.TO,WPM.TO,AC.TO,CVE.TO,BHC.TO,CNQ.TO,WN.TO,SU.TO,ENB.TO,MG.TO,K.TO,IMO.TO,SLF.TO,EMA.TO,QSR.TO,DOL.TO,CP.TO,MFC.TO,MRU.TO,POW.TO,FVI.TO,LSPD.TO,FTS.TO,TOU.TO,ATZ.TO,CMG.TO,DPM.TO,GSY.TO,DOO.TO,FM.TO
2010-01-04,17.787425994873047,,30.658151626586914,23.447275161743164,31.91179656982422,28.280378341674805,16.095985412597656,20.82707977294922,15.880475997924805,23.98443603515625,,15.491332054138184,13.626893997192383,,19.39317512512207,15.065784454345703,10.988153457641602,50.0762825012207,23.497678756713867,11.178651809692383,8.781047821044922,17.10964584350586,30.60503387451172,16.375255584716797,11.88734245300293,,3.4873530864715576,9.610651969909668,10.6333646774292,10.313331604003906,13.531977653503418,2.3399999141693115,,15.970577239990234,,,2.113551378250122,3.281360387802124,5.630202293395996,,15.36213207244873
2010-01-05,17.616708755493164,,30.187076568603516,23.107051849365234,32.215152740478516,28.017683029174805,15.814014434814453,20.728923797607422,15.872527122497559,24.186399459838867,,15.461230278015137,13.900598526000977,,19.128461837768555,15.154348373413086,10.938175201416016,50.71760559082031,23.761491775512695,11.283339500427246,9.405102729797363,17.509765625,30.679555892944336,16.828678131103516,11.697147369384766,,3.4779865741729736,9.637819290161133,10.979814529418945,10.226947784423828,13.550500869750977,2.4800000190734863,,15.875812530517578,,,2.113551378250122,3.3347153663635254,5.6111836433410645,,15.562148094177246
2010-01-06,17.44327735900879,,29.96506118774414,22.7716064453125,32.7459831237793,27.578166961669922,15.741172790527344,20.52647590637207,15.899025917053223,24.96904754638672,,15.315045356750488,14.348461151123047,,18.80803108215332,15.174029350280762,10.881056785583496,50.71760559082031,24.08053207397461,11.027433395385742,9.482523918151855,18.031665802001953,30.649751663208008,16.93290901184082,11.825529098510742,,3.5419905185699463,9.532543182373047,11.19834041595459,10.271446228027344,13.578292846679688,2.450000047683716,,15.925987243652344,,,2.113551378250122,3.3347153663635254,5.427313327789307,,16.474382400512695
2010-01-07,17.29152488708496,,29.992141723632812,22.479293823242188,32.336483001708984,27.320524215698242,15.708272933959961,20.636905670166016,15.610193252563477,25.39824676513672,,15.186051368713379,14.31529426574707,,18.71747589111328,15.095305442810059,10.635449409484863,50.657962799072266,23.816713333129883,10.992533683776855,9.574151992797852,18.13605308532715,30.06090545654297,16.912067413330078,11.75420093536377,,3.5123298168182373,9.529146194458008,11.081080436706543,10.26883316040039,13.40230941772461,2.6500000953674316,,15.820066452026367,,,2.113551378250122,3.3080379962921143,5.420973777770996,,16.179027557373047
2010-01-08,17.26984977722168,,29.937999725341797,22.742847442626953,32.412322998046875,27.148761749267578,15.774068832397461,20.9865779876709,15.541301727294922,25.482404708862305,,15.134459495544434,14.647050857543945,,18.86376190185547,15.242913246154785,10.70542049407959,53.178550720214844,23.736949920654297,11.011147499084473,9.514121055603027,18.327411651611328,30.269603729248047,17.193498611450195,11.72092342376709,,3.4967198371887207,9.705738067626953,11.081080436706543,10.240036964416504,13.383787155151367,2.7799999713897705,,15.998451232910156,,,2.113551378250122,3.3347153663635254,5.420973777770996,,17.188467025756836
2010-01-11,17.391794204711914,,29.883834838867188,22.522409439086914,32.60948944091797,27.01740837097168,15.642478942871094,20.80866813659668,15.631397247314453,25.709623336791992,,15.11296272277832,14.945630073547363,,18.752300262451172,15.58733081817627,10.635449409484863,51.433536529541016,23.669462203979492,10.934371948242188,9.721088409423828,18.51877212524414,30.50066566467285,17.15180778503418,11.787487983703613,,3.3905692100524902,9.6666841506958,11.022453308105469,10.260979652404785,13.314318656921387,2.880000114440918,,15.853514671325684,,,2.113551378250122,3.405855894088745,5.4526753425598145,,17.711881637573242
2010-01-12,17.3701171875,,29.986726760864258,22.26364517211914,31.790454864501953,27.07803726196289,15.5132417678833,20.618492126464844,15.549247741699219,25.24677085876465,,15.272047996520996,14.539230346679688,,18.647811889648438,15.557808876037598,10.506930351257324,51.37388229370117,23.233869552612305,10.927393913269043,9.856956481933594,18.083858489990234,30.619935989379883,16.93812370300293,11.67812728881836,,3.318761110305786,9.6276273727417,10.910520553588867,10.103919982910156,13.416204452514648,2.630000114440918,,15.886958122253418,,,2.106621026992798,3.3258233070373535,5.4526753425598145,,16.524852752685547
2010-01-13,17.44599723815918,,30.159988403320312,22.321151733398438,31.813209533691406,27.03761863708496,15.515588760375977,20.857757568359375,15.67114543914795,25.54131507873535,,15.035573959350586,14.854399681091309,,18.564218521118164,15.695574760437012,10.49550724029541,51.41860580444336,23.11729621887207,10.86457347869873,9.395627975463867,18.196935653686523,30.515586853027344,17.141376495361328,11.806512832641602,,3.323443651199341,9.574994087219238,10.926512718200684,10.048954010009766,13.39767837524414,2.7200000286102295,,15.853514671325684,,,2.0955348014831543,3.272467851638794,5.4526753425598145,,17.489429473876953
2010-01-14,17.435152053833008,,30.187076568603516,22.273229598999023,31.380943298339844,27.07803726196289,15.560240745544434,21.04178810119629,15.660540580749512,25.280433654785156,,15.022671699523926,14.771456718444824,,18.320419311523438,16.158077239990234,10.395550727844238,51.45588684082031,23.01914405822754,10.787805557250977,9.479363441467285,18.040361404418945,30.48576545715332,17.1778621673584,11.79224681854248,,3.318761110305786,9.364442825317383,10.969154357910156,10.103919982910156,13.453246116638184,2.630000114440918,,15.976151466369629,,,2.0775160789489746,3.388071298599243,5.4526753425598145,,18.119394302368164
2010-01-15,17.166879653930664,,29.678077697753906,22.076763153076172,30.728757858276367,27.052780151367188,15.391054153442383,21.08473014831543,15.665847778320312,25.431921005249023,,14.971081733703613,14.688515663146973,,18.111433029174805,15.892385482788086,10.279885292053223,51.336578369140625,22.522197723388672,10.797113418579102,9.285035133361816,17.179227828979492,30.291975021362305,16.96417999267578,11.79224681854248,,3.325005531311035,9.209924697875977,10.830573081970215,10.096070289611816,13.147599220275879,2.6600000858306885,,15.864667892456055,,,2.0442540645599365,3.352501153945923,5.4526753425598145,,18.046489715576172
